"Citation","Diet.richness.minimum","Ecosystem","EndoEcto","Feeding.data.type","First.entry.Name","Latitude","mass_g","Month","Space.averaging","Taxon.group","Time.averaging","Total.stomachs.count.given","Year"
"Randall_1967",12,"Marine","Ectotherm","Gut content (lethal)","Gray",18.03,NA,NA,"100km","Fish","Years",6,1963
"Randall_1967",6,"Marine","Ectotherm","Gut content (lethal)","Gray",18.03,NA,NA,"100km","Fish","Years",22,1963
"Randall_1967",1,"Marine","Ectotherm","Gut content (lethal)","Gray",18.03,NA,NA,"100km","Fish","Years",5,1963
"Randall_1967",3,"Marine","Ectotherm","Gut content (lethal)","Gray",18.03,NA,NA,"100km","Fish","Years",5,1963
"Randall_1967",2,"Marine","Ectotherm","Gut content (lethal)","Gray",18.03,NA,NA,"100km","Fish","Years",5,1963
"Randall_1967",10,"Marine","Ectotherm","Gut content (lethal)","Gray",18.03,NA,NA,"100km","Fish","Years",3,1963
"Randall_1967",19,"Marine","Ectotherm","Gut content (lethal)","Gray",18.03,NA,NA,"100km","Fish","Years",25,1963
"Randall_1967",6,"Marine","Ectotherm","Gut content (lethal)","Gray",18.03,NA,NA,"100km","Fish","Years",4,1963
"Randall_1967",25,"Marine","Ectotherm","Gut content (lethal)","Gray",18.03,NA,NA,"100km","Fish","Years",55,1963
"Randall_1967",5,"Marine","Ectotherm","Gut content (lethal)","Gray",18.03,NA,NA,"100km","Fish","Years",9,1963
"Randall_1967",8,"Marine","Ectotherm","Gut content (lethal)","Gray",18.03,NA,NA,"100km","Fish","Years",19,1963
"Randall_1967",2,"Marine","Ectotherm","Gut content (lethal)","Gray",18.03,NA,NA,"100km","Fish","Years",15,1963
"Randall_1967",2,"Marine","Ectotherm","Gut content (lethal)","Gray",18.03,NA,NA,"100km","Fish","Years",10,1963
"Randall_1967",7,"Marine","Ectotherm","Gut content (lethal)","Gray",18.03,NA,NA,"100km","Fish","Years",8,1963
"Randall_1967",7,"Marine","Ectotherm","Gut content (lethal)","Gray",18.03,NA,NA,"100km","Fish","Years",7,1963
"Randall_1967",24,"Marine","Ectotherm","Gut content (lethal)","Gray",18.03,NA,NA,"100km","Fish","Years",17,1963
"Randall_1967",8,"Marine","Ectotherm","Gut content (lethal)","Gray",18.03,NA,NA,"100km","Fish","Years",24,1963
"Randall_1967",1,"Marine","Ectotherm","Gut content (lethal)","Gray",18.03,NA,NA,"100km","Fish","Years",4,1963
"Randall_1967",5,"Marine","Ectotherm","Gut content (lethal)","Gray",18.03,NA,NA,"100km","Fish","Years",2,1963
"Randall_1967",2,"Marine","Ectotherm","Gut content (lethal)","Gray",18.03,NA,NA,"100km","Fish","Years",13,1963
"Randall_1967",12,"Marine","Ectotherm","Gut content (lethal)","Gray",18.03,NA,NA,"100km","Fish","Years",7,1963
"Sheridan_1979",18,"Marine","Ectotherm","Gut content (lethal)","Gray",29.74,NA,NA,"1000m","Fish","Months",1545,1976
"Stickney_1974",29,"Marine","Ectotherm","Gut content (lethal)","Gray",31.87,NA,NA,"10km","Fish","Years",217,1971
"Stickney_1974",25,"Marine","Ectotherm","Gut content (lethal)","Gray",31.87,NA,NA,"10km","Fish","Years",210,1971
"Stickney_1974",32,"Marine","Ectotherm","Gut content (lethal)","Gray",31.87,NA,NA,"10km","Fish","Years",421,1971
"Stickney_1975",43,"Marine","Ectotherm","Gut content (lethal)","Gray",31.88,NA,NA,"100km","Fish","Years",203,1973
"Varghese_2014",19,"Marine","Ectotherm","Gut content (lethal)","Gray",15.81,NA,NA,"1000km","Fish","Years",122,2007
"Varghese_2014",8,"Marine","Ectotherm","Gut content (lethal)","Gray",15.81,NA,NA,"1000km","Fish","Years",52,2007
"Yang_2000",46,"Marine","Ectotherm","Gut content (lethal)","Gray",54.68,NA,NA,"100km","Fish","Years",1375,1993
"Yang_2000",57,"Marine","Ectotherm","Gut content (lethal)","Gray",54.68,NA,NA,"100km","Fish","Years",2215,1996
