"search_string","unique_name","approximate_match","score","ott_id","is_synonym","flags","number_matches"
"ctenotus_brooksi","Ctenotus brooksi",TRUE,0.9375,284181,FALSE,"",1
"ctenotus_calurus","Ctenotus calurus",TRUE,0.9375,284178,FALSE,"",1
"ctenotus_colletti","Ctenotus colletti",TRUE,0.941176474094391,4123858,FALSE,"",3
"ctenotus_dux","Ctenotus dux",TRUE,0.916666686534882,858952,FALSE,"",1
"ctenotus_grandis","Ctenotus grandis",TRUE,0.9375,233734,FALSE,"",1
"ctenotus_helenae","Ctenotus helenae",TRUE,0.9375,233738,FALSE,"",1
"ctenotus_leonhardii","Ctenotus leonhardii",TRUE,0.947368443012238,730560,FALSE,"",1
"ctenotus_pantherinus","Ctenotus pantherinus",TRUE,0.949999988079071,730561,FALSE,"",2
"ctenotus_pianka","Ctenotus piankai",TRUE,0.875,182769,FALSE,"",1
"ctenotus_quattuordecimlineatus","Ctenotus quattuordecimlineatus",TRUE,0.966666638851166,182765,FALSE,"",1
"ctenotus_schomburgkii","Ctenotus schomburgkii",TRUE,0.952380955219269,756937,FALSE,"",1
"cyanea_capillata","Cyanea capillata",TRUE,0.9375,178412,FALSE,"",1
"cycloramphus_brasiliensis","Cycloramphus brasiliensis",TRUE,0.959999978542328,3620314,FALSE,"",1
"cyclothone_acclinidens","Cyclothone acclinidens",TRUE,0.954545438289642,127375,FALSE,"",2
"cyclothone_obscura","Cyclothone obscura",TRUE,0.944444417953491,127398,FALSE,"",1
"cyclothone_pallida","Cyclothone pallida",TRUE,0.944444417953491,127395,FALSE,"",1
"cyclothone_signata","Cyclothone signata",TRUE,0.944444417953491,648946,FALSE,"",1
"cygnodraco_mawsoni","Cygnodraco mawsoni",TRUE,0.944444417953491,781799,FALSE,"",1
"cynopoecilus_fulgens","Cynopoecilus fulgens",TRUE,0.949999988079071,3641476,FALSE,"",1
"cynoscion_arenarius","Cynoscion arenarius",TRUE,0.947368443012238,854147,FALSE,"",1
"cynoscion_nebulosus","Cynoscion nebulosus",TRUE,0.947368443012238,186252,FALSE,"",1
"cyprinodon_variegatus","Cyprinodon variegatus",TRUE,0.952380955219269,82335,FALSE,"",1
"cyprinus_carpio","Cyprinus carpio",TRUE,0.933333337306976,429083,FALSE,"",3
"cyrba_algerina","Cyrba algerina",TRUE,0.928571403026581,93776,FALSE,"",1
"dasyatis_lata","Dasyatis lata",TRUE,0.923076927661896,917251,FALSE,"sibling_higher",1
"delma_butleri","Delma butleri",TRUE,0.923076927661896,886641,FALSE,"",1
"delphinus_delphis","Delphinus delphis",TRUE,0.941176474094391,698438,FALSE,"sibling_higher",3
"dendropsophus_branneri","Dendropsophus branneri",TRUE,0.954545438289642,399295,FALSE,"",1
"dendropsophus_nanus","Dendropsophus nanus",TRUE,0.947368443012238,499883,FALSE,"",2
"dendropsophus_sanborni","Dendropsophus sanborni",TRUE,0.954545438289642,610586,FALSE,"",2
