"Cite","ConIDorig","ConID","ott_id","TSc","FSc","fF","TG","EE","BM","Eco","Lat","Long","DR","DRlog","Drf","Drc","TA","TAlog","SA","SAlog","Yr","tWS","DT","FD"
"Houston_1993","Acrochordus_arafurae","Acrochordus_arafurae",522482,34,3,0.0882,"Reptiles","Ectotherm",1694.5,"Lotic",-12.5,132.82,21,1.32221929473392,"Species","Genus","Days",1.38021124171161,"100m",2,1986,24,1986-07-15 00:00:00,"Gut content (non-lethal)"
"Houston_1993","Acrochordus_arafurae","Acrochordus_arafurae",522482,389,25,0.0643,"Reptiles","Ectotherm",1694.5,"Lotic",-12.5,132.82,21,1.32221929473392,"Species","Genus","Days",1.38021124171161,"100m",2,1986,24,1986-07-15 00:00:00,"Gut content (non-lethal)"
"Houston_1993","Acrochordus_arafurae","Acrochordus_arafurae",522482,16,8,0.5,"Reptiles","Ectotherm",1694.5,"Lotic",-12.5,132.82,21,1.32221929473392,"Species","Genus","Days",1.38021124171161,"100m",2,1986,207,1986-01-15 00:00:00,"Gut content (non-lethal)"
"Houston_1993","Acrochordus_arafurae","Acrochordus_arafurae",522482,384,24,0.0625,"Reptiles","Ectotherm",1694.5,"Lotic",-12.5,132.82,21,1.32221929473392,"Species","Genus","Days",1.38021124171161,"100m",2,1987,24,1987-07-15 00:00:00,"Gut content (non-lethal)"
"Houston_1993","Acrochordus_arafurae","Acrochordus_arafurae",522482,349,22,0.063,"Reptiles","Ectotherm",1694.5,"Lotic",-12.5,132.82,21,1.32221929473392,"Species","Genus","Days",1.38021124171161,"100m",2,1985,24,1985-07-15 00:00:00,"Gut content (non-lethal)"
"Shine_1986","Acrochordus_arafurae","Acrochordus_arafurae",522482,508,26,0.0512,"Reptiles","Ectotherm",1694.5,"Lotic",-12.626,NA,13,1.11394335230684,"Species","Class","Years",3.94250410616808,"10km",4,1983,NA,1983-01-01 00:00:00,"Gut content"
"Houston_1993","Acrochordus_arafurae","Acrochordus_arafurae",522482,14,6,0.4286,"Reptiles","Ectotherm",1694.5,"Lotic",-12.5,132.82,21,1.32221929473392,"Species","Genus","Days",1.38021124171161,"100m",2,1986,207,1986-01-15 00:00:00,"Gut content (non-lethal)"
"Houston_1993","Acrochordus_arafurae","Acrochordus_arafurae",522482,12,0,0,"Reptiles","Ectotherm",1694.5,"Lotic",-12.5,132.82,21,1.32221929473392,"Species","Genus","Days",1.38021124171161,"100m",2,1986,24,1986-07-15 00:00:00,"Gut content (non-lethal)"
"Houston_1993","Acrochordus_arafurae","Acrochordus_arafurae",522482,241,14,0.0581,"Reptiles","Ectotherm",1694.5,"Lotic",-12.5,132.82,21,1.32221929473392,"Species","Genus","Days",1.38021124171161,"100m",2,1987,24,1987-07-15 00:00:00,"Gut content (non-lethal)"
"Houston_1993","Acrochordus_arafurae","Acrochordus_arafurae",522482,457,24,0.0525,"Reptiles","Ectotherm",1694.5,"Lotic",-12.5,132.82,21,1.32221929473392,"Species","Genus","Days",1.38021124171161,"100m",2,1985,24,1985-07-15 00:00:00,"Gut content (non-lethal)"
"Houston_1993","Acrochordus_arafurae","Acrochordus_arafurae",522482,34,2,0.0588,"Reptiles","Ectotherm",1694.5,"Lotic",-12.5,132.82,21,1.32221929473392,"Species","Genus","Days",1.38021124171161,"100m",2,1987,24,1987-07-15 00:00:00,"Gut content (non-lethal)"
"Houston_1993","Acrochordus_arafurae","Acrochordus_arafurae",522482,492,34,0.0691,"Reptiles","Ectotherm",1694.5,"Lotic",-12.5,132.82,21,1.32221929473392,"Species","Genus","Days",1.38021124171161,"100m",2,1986,24,1986-07-15 00:00:00,"Gut content (non-lethal)"
"Houston_1993","Acrochordus_arafurae","Acrochordus_arafurae",522482,196,25,0.1276,"Reptiles","Ectotherm",1694.5,"Lotic",-12.5,132.82,21,1.32221929473392,"Species","Genus","Days",1.38021124171161,"100m",2,1987,24,1987-07-15 00:00:00,"Gut content (non-lethal)"
"Houston_1993","Acrochordus_arafurae","Acrochordus_arafurae",522482,40,13,0.325,"Reptiles","Ectotherm",1694.5,"Lotic",-12.5,132.82,21,1.32221929473392,"Species","Genus","Days",1.38021124171161,"100m",2,1987,207,1987-01-15 00:00:00,"Gut content (non-lethal)"
"Houston_1993","Acrochordus_arafurae","Acrochordus_arafurae",522482,152,15,0.0987,"Reptiles","Ectotherm",1694.5,"Lotic",-12.5,132.82,21,1.32221929473392,"Species","Genus","Days",1.38021124171161,"100m",2,1987,24,1987-07-15 00:00:00,"Gut content (non-lethal)"
"Houston_1993","Acrochordus_arafurae","Acrochordus_arafurae",522482,268,18,0.0672,"Reptiles","Ectotherm",1694.5,"Lotic",-12.5,132.82,21,1.32221929473392,"Species","Genus","Days",1.38021124171161,"100m",2,1987,24,1987-07-15 00:00:00,"Gut content (non-lethal)"
"Houston_1993","Acrochordus_arafurae","Acrochordus_arafurae",522482,11,3,0.2727,"Reptiles","Ectotherm",1694.5,"Lotic",-12.5,132.82,21,1.32221929473392,"Species","Genus","Days",1.38021124171161,"100m",2,1987,207,1987-01-15 00:00:00,"Gut content (non-lethal)"
"Houston_1993","Acrochordus_arafurae","Acrochordus_arafurae",522482,23,1,0.0435,"Reptiles","Ectotherm",1694.5,"Lotic",-12.5,132.82,21,1.32221929473392,"Species","Genus","Days",1.38021124171161,"100m",2,1986,24,1986-07-15 00:00:00,"Gut content (non-lethal)"
"Voris_1980","Acrochordus_granulatus","Acrochordus_granulatus",511702,86,12,0.14,"Reptiles","Ectotherm",300.7,"Marine",2.28,NA,5,0.698970004336019,"Genus","Family","Months",2.86332286012046,"10km",4,1975,NA,1975-01-01 00:00:00,"Gut content"
"Chintiroglou_1992","Actina_equina","Actinia_equina",1084476,60,18,0.3,"Cnidarians","Ectotherm",0.42,"Marine",40.2,NA,16,1.20411998265592,"Species","Phylum","Hours",0,"100m",2,1981,176,1981-06-15 00:00:00,"Gut content"
