species,order,family,lifestyle,trophic_level,aspect_ratio,MMRsource,MMRmass,MMRtemp,MMR1kg15deg,MMRref,RMRsource,RMRmass,RMRtemp,RMR1kg15deg,RMRref,Brain_brainmass,Brain_bodymass,Brain_percent,Gill_meanSA,Gill_bodymass,Liver_bodymass,Liver_temp,LiverHSI,MuscleFatfreeprotein
Euthynnus_affinis,Perciformes,Scombridae,pelagic,4.5,5.61,1064.13,1000.00,24.00,779.55,"Sepulveda, C. H. U. G. E. Y., & Dickson, K. A. (2000). Maximum sustainable speeds and cost of swimming in juvenile kawakawa tuna (Euthynnus affinis) and chub mackerel (Scomber japonicus). Journal of Experimental Biology, 203(20), 3089-3101.",536.37,1000.00,24.00,347.67,"Sepulveda, C. H. U. G. E. Y., & Dickson, K. A. (2000). Maximum sustainable speeds and cost of swimming in juvenile kawakawa tuna (Euthynnus affinis) and chub mackerel (Scomber japonicus). Journal of Experimental Biology, 203(20), 3089-3101.",2.115,2115.300,0.100,5.050,3.720,NA,NA,NA,24
Forsterygion_lapillum,Perciformes,Tripterygiidae,benthopelagic,3.2,NA,0.72,2.10,15.00,234.29,"Khan, J. R., & Herbert, N. A. (2012). The behavioural thermal preference of the common triplefin (Forsterygion lapillum) tracks aerobic scope optima at the upper thermal limit of its distribution. Journal of Thermal Biology, 37(2), 118-124.",0.19,2.10,15.00,65.09,"Khan, J. R., & Herbert, N. A. (2012). The behavioural thermal preference of the common triplefin (Forsterygion lapillum) tracks aerobic scope optima at the upper thermal limit of its distribution. Journal of Thermal Biology, 37(2), 118-124.",NA,NA,NA,NA,NA,NA,NA,NA,NA
Gadus_macrocephalus,Gadiformes,Gadidae,benthic,4.01,NA,193.73,1000.00,11.00,222.47,"Hanna, S. K., Haukenes, A. H., Foy, R. J., & Buck, C. L. (2008). Temperature effects on metabolic rate, swimming performance and condition of Pacific cod Gadus macrocephalus Tilesius. Journal of Fish Biology, 72(4), 1068-1078.",48.88,1000.00,11.00,59.27,"Hanna, S. K., Haukenes, A. H., Foy, R. J., & Buck, C. L. (2008). Temperature effects on metabolic rate, swimming performance and condition of Pacific cod Gadus macrocephalus Tilesius. Journal of Fish Biology, 72(4), 1068-1078.",NA,NA,NA,NA,NA,NA,NA,NA,17.9
Gadus_morhua,Gadiformes,Gadidae,benthopelagic,4.42,0.77,58.97,150.00,15.00,349.05,"Soofiani, N. M., & Priede, I. G. (1985). Aerobic metabolic scope and swimming performance in juvenile cod, Gadus morhua L. Journal of Fish Biology, 26(2), 127-138.",19.94,150.00,15.00,120.52,"Soofiani, N. M., & Priede, I. G. (1985). Aerobic metabolic scope and swimming performance in juvenile cod, Gadus morhua L. Journal of Fish Biology, 26(2), 127-138.",1.430,2386.560,0.060,NA,NA,741.817,15,3.960,17.9
Gadus_ogac,Gadiformes,Gadidae,benthic,3.59,NA,28.46,180.00,4.00,207.71,"Bushnell, P. G., Steffensen, J. F., Schurmann, H., & Jones, D. R. (1994). Exercise metabolism in two species of cod in arctic waters. Polar Biology, 14(1), 43-48.",11.36,180.00,4.00,98.09,"Bushnell, P. G., Steffensen, J. F., Schurmann, H., & Jones, D. R. (1994). Exercise metabolism in two species of cod in arctic waters. Polar Biology, 14(1), 43-48.",NA,NA,NA,NA,NA,NA,NA,NA,17.9
Genyagnus_monopterygius,Perciformes,Uranoscopidae,benthic,NA,NA,NA,NA,NA,,NA,2.52,122.08,17.00,16.84,"Forster, M. E., & Starling, L. (1982). Ventilation and oxygen consumption in the spotted stargazer Genyagnus monopterygius†. New Zealand Journal of Marine and Freshwater Research, 16(2), 135-140.",NA,NA,NA,NA,NA,NA,NA,NA,NA
Hypophthalmichthys_sp,Cyrpiniformes,Cyprinidae,benthopelagic,2,NA,1.16,6.09,25.00,98.00,"Yan, G. J., He, X. K., Cao, Z. D., & Fu, S. J. (2013). An interspecific comparison between morphology and swimming performance in cyprinids. Journal of evolutionary biology, 26(8), 1802-1815.",0.29,6.09,25.00,22.56,"Yan, G. J., He, X. K., Cao, Z. D., & Fu, S. J. (2013). An interspecific comparison between morphology and swimming performance in cyprinids. Journal of evolutionary biology, 26(8), 1802-1815.",NA,NA,NA,NA,NA,NA,NA,NA,18.9
Ictalurus_nebulosus,Siluriformes,Ictaluridae,benthic,3.42,1.34,79.98,200.00,20.00,304.14,"Saunders, R. L. (1962). THE IRRIGATION OF THE GILLS IN FISHES: II. EFFICIENCY OF OXYGEN UPTAKE IN RELATION TO RESPIRATORY FLOW ACTIVITY AND CONCENTRATIONS OF OXYGEN AND CARBON DIOXIDE. Canadian Journal of Zoology, 40(5), 817-862.",13.98,200.00,20.00,50.55,"Saunders, R. L. (1962). THE IRRIGATION OF THE GILLS IN FISHES: II. EFFICIENCY OF OXYGEN UPTAKE IN RELATION TO RESPIRATORY FLOW ACTIVITY AND CONCENTRATIONS OF OXYGEN AND CARBON DIOXIDE. Canadian Journal of Zoology, 40(5), 817-862.",0.167,56.200,0.296,2.210,2.080,NA,NA,NA,19.6
Ictalurus_punctatus,Siluriformes,Ictaluridae,benthopelagic,3.87,NA,NA,NA,NA,,NA,1.22,6.54,23.50,95.52,"Gerald, J. W., & Cech, J. J. (1970). Respiratory responses of juvenile catfish (Ictalurus punctatus) to hypoxic conditions. Physiological Zoology, 47-54.",NA,NA,NA,NA,NA,46.500,21,1.165,19.2
Katsuwonus_pelamis,Perciformes,Scombridae,pelagic,3.75,6.97,3740.00,1700.00,23.00,1724.76,"Dewar, H., & Graham, J. (1994). Studies of tropical tuna swimming performance in a large water tunnel-energetics. The Journal of experimental biology, 192(1), 13-31.",535.50,1700.00,23.00,220.22,"Dewar, H., & Graham, J. (1994). Studies of tropical tuna swimming performance in a large water tunnel-energetics. The Journal of experimental biology, 192(1), 13-31.",4.819,6884.760,0.070,4.570,3.360,NA,NA,NA,25.6
Kuhlia_sandvicensis,Perciformes,Kuhliidae,pelagic,3.78,NA,19.62,30.00,23.00,398.13,"Muir, B. S., & Niimi, A. J. (1972). Oxygen consumption of the euryhaline fish aholehole (Kuhlia sandvicensis) with reference to salinity, swimming, and food consumption. Journal of the Fisheries Board of Canada, 29(1), 67-77.",2.10,30.00,23.00,39.71,"Muir, B. S., & Niimi, A. J. (1972). Oxygen consumption of the euryhaline fish aholehole (Kuhlia sandvicensis) with reference to salinity, swimming, and food consumption. Journal of the Fisheries Board of Canada, 29(1), 67-77.",0.212,83.410,0.254,NA,NA,NA,NA,NA,NA
Labeo_rohita,Cyrpiniformes,Cyprinidae,benthopelagic,2.01,1.98,NA,NA,NA,,NA,2.17,30.00,26.00,35.51,"Das, T., Pal, A. K., Chakraborty, S. K., Manush, S. M., Chatterjee, N., & Mukherjee, S. C. (2004). Thermal tolerance and oxygen consumption of Indian Major Carps acclimated to four temperatures. Journal of Thermal Biology, 29(3), 157-163.",NA,NA,NA,2.970,2.240,NA,NA,NA,18.9
Leiostomus_xanthrus,Perciformes,Sciaenidae,benthic,3.94,1.39,154.26,121.00,25.00,790.39,"Horodysky, A. Z., Brill, R. W., Bushnell, P. G., Musick, J. A., & Latour, R. J. (2011). Comparative metabolic rates of common western North Atlantic Ocean sciaenid fishes. Journal of fish biology, 79(1), 235-255.",33.55,190.00,25.00,100.10,"Horodysky, A. Z., Brill, R. W., Bushnell, P. G., Musick, J. A., & Latour, R. J. (2011). Comparative metabolic rates of common western North Atlantic Ocean sciaenid fishes. Journal of fish biology, 79(1), 235-255.",NA,NA,NA,NA,NA,NA,NA,NA,NA
Lepomis_gibbosus,Perciformes,Centrarchidae,benthopelagic,3.12,NA,18.33,44.92,20.00,282.58,"Brett, J. R., & Sutherland, D. B. (1965). Respiratory metabolism of pumpkinseed (Lepomis gibbosus) in relation to swimming speed. Journal of the Fisheries Board of Canada, 22(2), 405-409.",2.02,44.92,20.00,30.12,"Brett, J. R., & Sutherland, D. B. (1965). Respiratory metabolism of pumpkinseed (Lepomis gibbosus) in relation to swimming speed. Journal of the Fisheries Board of Canada, 22(2), 405-409.",0.141,29.350,0.480,NA,NA,NA,NA,NA,NA
Lepomis_macrochirus,Perciformes,Centrarchidae,benthopelagic,3.18,NA,NA,NA,NA,,NA,8.74,118.00,25.00,40.99,"Marvin, D. E., & Heath, A. G. (1968). Cardiac and respiratory responses to gradual hypoxia in three ecologically distinct species of fresh-water fish. Comparative Biochemistry and Physiology, 27(1), 349-355.",NA,NA,NA,NA,NA,NA,17.5,1.101,NA
Limanda_limanda,Pleuronectiformes,Pleuronectidae,benthic,3.29,0.66,67.83,395.80,15.00,161.71,"Duthie, G. G. (1982). The respiratory metabolism of temperature-adapted flatfish at rest and during swimming activity and the use of anaerobic metabolism at moderate swimming speeds. Journal of Experimental Biology, 97(1), 359-373.",16.56,395.80,15.00,39.87,"Duthie, G. G. (1982). The respiratory metabolism of temperature-adapted flatfish at rest and during swimming activity and the use of anaerobic metabolism at moderate swimming speeds. Journal of Experimental Biology, 97(1), 359-373.",NA,NA,NA,2.250,2.300,NA,15,1.897,16.8
Liza_aurata,Mugiliformes,Mugilidae,pelagic,2.46,1.33,9.04,13.44,20.00,431.95,"Killen, S. S., Marras, S., Steffensen, J. F., & McKenzie, D. J. (2011). Aerobic capacity influences the spatial position of individuals within fish schools. Proceedings of the Royal Society of London B: Biological Sciences, rspb20111006.",2.66,13.45,20.00,124.29,"Killen, S. S., Marras, S., Steffensen, J. F., & McKenzie, D. J. (2011). Aerobic capacity influences the spatial position of individuals within fish schools. Proceedings of the Royal Society of London B: Biological Sciences, rspb20111006.",0.198,98.850,0.200,NA,NA,NA,NA,NA,20.5
Lumpenus_lampretaeformis,Perciformes,Stichaeidae,benthic,3.6,NA,NA,NA,NA,,NA,0.81,9.51,15.00,66.90,"Pelster, B., Bridges, C. R., & Grieshaber, M. K. (1988). Respiratory adaptations of the burrowing marine teleost Lumpenus lampretaeformis (Walbaum). II. Metabolic adaptations. Journal of experimental marine biology and ecology, 124(1), 43-55.",0.038,78.550,0.048,NA,NA,NA,NA,NA,NA
Lycodes_eudipleurostictus,Perciformes,Zoarcidae,benthic,3.54,NA,NA,NA,NA,,NA,0.34,27.32,0.00,21.39,"Dorrien, C. (1993). Ecology and respiration of selected Arctic benthic fish species. Ber. Polarforsch, 125, 1-104.",NA,NA,NA,NA,NA,NA,NA,NA,NA
Lycodes_pallidus,Perciformes,Zoarcidae,benthic,3.33,NA,NA,NA,NA,,NA,0.18,14.44,0.00,20.36,"Dorrien, C. (1993). Ecology and respiration of selected Arctic benthic fish species. Ber. Polarforsch, 125, 1-104.",NA,NA,NA,NA,NA,NA,NA,NA,NA
