"taxon","mass_g","source_mass","n"
"Aphelopus",0.000146,"GenusAverage",3
"Aphidius",0.000116,"GenusAverage",1
"Aphinius",0.7906,"GenusAverage",1
"Aphis",0.0005667,"GenusAverage",3
"Aphonopelma",10.78,"GenusAverage",0
"Aphos",265,"GenusAverage",1
"Aphrastura",11.81,"GenusAverage",3
"Aphredoderus",32.8,"GenusAverage",1
"Aphriza",198.2,"GenusAverage",4
"Aphrodita",44.9,"GenusAverage",1
"Aphrodroma",356,"GenusAverage",2
"Aphtona",2e-04,"GenusAverage",1
"Aphyocharax",2.165,"GenusAverage",1
"Aphyocypris",2.867,"GenusAverage",3
"Aphyosemion",1.088,"GenusAverage",8
"Apis",0.0188,"GenusAverage",1
"Apistogramma",2.567,"GenusAverage",2
"Aplocheilichthys",0.4842,"GenusAverage",0
"Aplocheilus",6.3,"GenusAverage",2
"Aplodactylus",862,"GenusAverage",1
"Aplodinotus",2073,"GenusAverage",0
"Aplodontia",849.2,"GenusAverage",9
"Aplonis",71.37,"GenusAverage",36
"Aplopelia",155,"GenusAverage",1
"Aplopeltura",85.3,"GenusAverage",3
"Aplysia",2415,"GenusAverage",11
"Apocryptodon",1.3,"GenusAverage",1
"Apodemus",29.17,"GenusAverage",85
"Apodichthys",14.98,"GenusAverage",0
"Apogon",32.02,"GenusAverage",4
"Apogonichthyoides",63.47,"GenusAverage",2
"Apolemichthys",317.1,"GenusAverage",4
"Apomys",48.18,"GenusAverage",35
"Apostichopus",240,"GenusAverage",1
"Apostolepis",22.54,"GenusAverage",30
"Aprasia",6.609,"GenusAverage",32
"Aprion",11940,"GenusAverage",2
"Apristurus",1415,"GenusAverage",1
"Aprosdoketophis",10.9,"GenusAverage",1
"Aprosmictus",127.4,"GenusAverage",7
"Aprostocetus",8e-05,"GenusAverage",1
"Aproteles",608,"GenusAverage",4
"Apsilochorema",0.00825,"GenusAverage",0
"Apsilus",1063,"GenusAverage",1
"Aptenodytes",19730,"GenusAverage",16
"Apteronotus",281.6,"GenusAverage",3
"Apteryx",2167,"GenusAverage",22
"Aptocyclus",1798,"GenusAverage",1
"Apus",38.87,"GenusAverage",48
"Aquila",2062,"GenusAverage",65
"Ara",860.9,"GenusAverage",35
"Arabibarbus",30000,"GenusAverage",1
"Arabitragus",23000,"GenusAverage",2
"Arachnothera",23.42,"GenusAverage",21
"Arachnura",0.032,"GenusAverage",0
"Araeoncus",0.0001047,"GenusAverage",1
"Arakawania",1,"GenusAverage",0
"Aramides",435,"GenusAverage",14
"Aramidopsis",191,"GenusAverage",1
"Aramus",1107,"GenusAverage",4
"Araneus",0.2342,"GenusAverage",3
"Arapaima",404300,"GenusAverage",3
"Aratinga",139.6,"GenusAverage",36
"Arborimus",27.29,"GenusAverage",16
"Arborophila",294.3,"GenusAverage",53
"Arcanator",31.32,"GenusAverage",2
"Archaeoindris",180000,"GenusAverage",2
"Archaeolacerta",12.55,"GenusAverage",3
"Archaeolemur",21120,"GenusAverage",4
"Archaeomysis",0.002,"GenusAverage",0
"Archaius",23.08,"GenusAverage",2
"Archamia",19.35,"GenusAverage",2
"Archboldia",177.4,"GenusAverage",2
"Archboldomys",35.38,"GenusAverage",4
"Archelaphe",66.5,"GenusAverage",1
"Archiaphyosemion",1.7,"GenusAverage",1
"Archilochus",3.363,"GenusAverage",13
"Archistes",99.5,"GenusAverage",1
"Architeuthis",11630,"GenusAverage",2
"Archocentrus",35.38,"GenusAverage",0
"Archoplites",792,"GenusAverage",1
"Archosargus",2041,"GenusAverage",2
"Arctica",165,"GenusAverage",1
"Arctictis",10950,"GenusAverage",9
"Arctocebus",232.1,"GenusAverage",14
"Arctocephalus",83450,"GenusAverage",48
"Arctodus",538800,"GenusAverage",5
"Arctogadus",386.1,"GenusAverage",0
"Arctogalidia",1869,"GenusAverage",7
"Arctonyx",7534,"GenusAverage",10
"Arctosa",0.009435,"GenusAverage",2
"Arctoscopus",272.6,"GenusAverage",1
"Arctotherium",91830,"GenusAverage",2
"Arctozenus",54.93,"GenusAverage",0
"Arcygobius",8.9,"GenusAverage",1
"Ardea",1490,"GenusAverage",42
"Ardeola",273,"GenusAverage",11
"Ardeotis",6239,"GenusAverage",13
"Ardops",17.86,"GenusAverage",4
"Arenaeus",45,"GenusAverage",1
"Arenaria",114.4,"GenusAverage",12
"Argentina",1006,"GenusAverage",1
"Argiope",0.2289,"GenusAverage",2
"Argoctenus",0.046,"GenusAverage",0
"Argonectes",199.1,"GenusAverage",1
"Argopleura",3.82,"GenusAverage",2
"Argusianus",2067,"GenusAverage",3
"Argyra",3e-04,"GenusAverage",1
"Argyrocottus",8,"GenusAverage",1
"Argyrogena",128,"GenusAverage",2
"Argyropelecus",11.12,"GenusAverage",4
"Argyrophis",16.37,"GenusAverage",12
"Argyrops",4147,"GenusAverage",1
"Argyrosomus",37320,"GenusAverage",8
"Argyrozona",5900,"GenusAverage",1
"Ariadna",0.081,"GenusAverage",0
"Arielulus",8.793,"GenusAverage",11
"Ariomma",857.9,"GenusAverage",3
"Arion",0.54,"GenusAverage",1
"Ariopsis",464.4,"GenusAverage",2
"Ariosoma",91.1,"GenusAverage",1
"Arisae",0.3495,"GenusAverage",1
"Aristaeomorpha",43.12,"GenusAverage",1
"Aristelliger",20.93,"GenusAverage",19
"Aristeus",31.63,"GenusAverage",1
"Aristichthys",6.19,"GenusAverage",1
"Ariteus",11.3,"GenusAverage",3
"Arius",325.5,"GenusAverage",1
"Arizelocichla",34.97,"GenusAverage",12
"Arizona",382.8,"GenusAverage",3
"Arkys",0.05225,"GenusAverage",0
"Armadillidium",0.02092,"GenusAverage",4
"Arnoglossus",20.92,"GenusAverage",2
"Arnoldichthys",18.5,"GenusAverage",1
"Arothron",10470,"GenusAverage",6
"Arremon",32.6,"GenusAverage",25
"Arremonops",29.01,"GenusAverage",10
