Index,Continent,Species Distribution,Order,FAMILY,Genus,Species,synonyms,Common,LogMass (g),Combined.Mass (g),Mass Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1024,AF,,Artiodactyla,Bovidae,Gazella,atlantica,,,4.648,44500,1_ 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,AF,,Artiodactyla,Bovidae,Gazella,cuvieri,,"Cuvier's Gazelle, Edmi",4.398,25000,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,AF,,Artiodactyla,Bovidae,Gazella,dorcas,,Dorcas Gazelle,4.362,23000.115,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,AF,,Artiodactyla,Bovidae,Gazella,gazella,,"Mountain Gazelle, Idmi",4.352,22499.87,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,AF,,Artiodactyla,Bovidae,Gazella,granti, Nanger granti,Grant's gazelle,4.74,54999.659,63_ 70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,AF,,Artiodactyla,Bovidae,Gazella,leptoceros,,Slender-horned Gazelle,4.346,22200,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,AF,,Artiodactyla,Bovidae,Gazella,spekei,,*Speke's Gazelle,4.301,20000,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
532,AF,,Artiodactyla,Bovidae,Hippotragus,equinus,,Roan Antelope,5.431,269997.66,63_ 70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034,AF,,Artiodactyla,Bovidae,Hippotragus,leucophaeus,,"Bluebuck, Blue Buck",5.176,150000,2_ 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,AF,,Artiodactyla,Bovidae,Hippotragus,niger,,"Sable Antelope, Giant Sable Antelope",5.357,227499.266,63_ 70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
566,AF,,Artiodactyla,Bovidae,Kobus,ellipsiprymnus,,Waterbuck,5.322,210000.341,63_ 70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
567,AF,,Artiodactyla,Bovidae,Kobus,kob,,Kob,4.895,78500.062,63_ 70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
568,AF,,Artiodactyla,Bovidae,Kobus,leche,,Southern Lechwe,5.044,110749.048,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
569,AF,,Artiodactyla,Bovidae,Kobus,megaceros,,Nile Lechwe,4.942,87500.392,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
570,AF,,Artiodactyla,Bovidae,Kobus,vardonii,,Puku,4.854,71500.652,63_ 70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
594,AF,,Artiodactyla,Bovidae,Litocranius,walleri,,Gerenuk,4.58,37999.685,63_ 70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
612,AF,,Artiodactyla,Bovidae,Madoqua,guentheri,,"Guenther's Dik-dik, GÅ¸nther's Dik-dik",3.875,7499.978,63_ 70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
