Species,Clade I,Clade II,Clade III,Dietary niche breadth,Standard niche breadth,Foraging mode,Time of activity,No. empty,Total guts,Percent Empty,Mean SVL (mm),SD SVL,Predatory,Huey_SpeciesName
Ctenotus leae ,Autarchoglossa,Scincidae,Scincidae,4.3,0.215,WF,D,4,19,21.1,51,5.9,F,
Ctenotus leonhardii ,Autarchoglossa,Scincidae,Scincidae,5.2,0.26,WF,D,11,110,10,61,9.9,T,
Ctenotus calurus ,Autarchoglossa,Scincidae,Scincidae,1.4,0.07,WF,D,53,194,27.3,38,5,T,
Ctenotus colletti ,Autarchoglossa,Scincidae,Scincidae,4.2,0.21,WF,D,3,10,30,39,3.9,T,
Ctenotus dux ,Autarchoglossa,Scincidae,Scincidae,5.2,0.26,WF,D,12,167,7.2,40,7.2,T,
Ctenotus grandis ,Autarchoglossa,Scincidae,Scincidae,1.6,0.08,WF,D,7,109,6.4,74,20.6,T,
Ctenotus helenae ,Autarchoglossa,Scincidae,Scincidae,2.2,0.11,WF,D,7,132,5.3,79,12.8,T,
Egernia inornata ,Autarchoglossa,Scincidae,Scincidae,5.2,0.26,WF,N,7,123,5.7,65,14.8,T,
Egernia striata ,Autarchoglossa,Scincidae,Scincidae,2.1,0.105,WF,N,9,190,4.7,87,15.7,T,
Ctenotus pantherinus ,Autarchoglossa,Scincidae,Scincidae,1.4,0.07,WF,D,15,121,12.4,71,18.3,T,
Ctenotus pianka ,Autarchoglossa,Scincidae,Scincidae,5.2,0.26,WF,D,2,21,9.5,35,5.5,T,
Varanus brevicauda ,Autarchoglossa,Varanidae,Varanidae,6.85,0.342,WF,D,16,63,25.4,90,9.3,T,
Varanus eremius ,Autarchoglossa,Varanidae,Varanidae,1.65,0.082,WF,D,61,170,35.88,126,20.7,T,
Varanus gouldi (juveniles),Autarchoglossa,Varanidae,Varanidae,4,0.2,WF,D,4,18,22.2,129,17.1,T,
Varanus gouldi (adults),Autarchoglossa,Varanidae,Varanidae,5.9,0.295,WF,D,25,104,24,278,38.4,T,
Varanus tristis,Autarchoglossa,Varanidae,Varanidae,1.5,0.075,WF,D,25,100,25,229,20.9,T,
Ctenotus quattuordecimlineatus ,Autarchoglossa,Scincidae,Scincidae,2.8,0.14,WF,D,52,389,13.4,54,9.9,T,
Ctenotus schomburgkii ,Autarchoglossa,Scincidae,Scincidae,1.9,0.095,WF,D,16,119,13.4,40,5.8,T,
Delma butleri,Gekkota,Gekkonidae,Pygopodinae,3.2,0.16,NA,D,5,18,27.8,65,14.5,T,
Gehyra variegata,Gekkota,Gekkonidae,Gekkoninae,5.8,0.29,SW,N,55,287,19.2,49,8.3,T,
Egernia depressa ,Autarchoglossa,Scincidae,Scincidae,1.4,0.07,WF,D,5,31,16.1,85,16.7,F,
Diplodactylus ciliaris,Gekkota,Gekkonidae,Diplodactylinae,5.6,0.28,SW,N,14,75,18.7,76,3.8,T,
Diplodactylus conspicillatus,Gekkota,Gekkonidae,Diplodactylinae,1,0.05,SW,N,34,55,61.8,59,6.3,T,
Diplodactylus elderi,Gekkota,Gekkonidae,Diplodactylinae,4.4,0.22,SW,N,5,26,19.2,38,9.3,T,
Diplodactylus pulcher,Gekkota,Gekkonidae,Diplodactylinae,1,0.05,SW,N,15,25,60,54,6.9,T,
Diplodactylus stenodactylus,Gekkota,Gekkonidae,Diplodactylinae,6.3,0.315,SW,N,3,43,7,48,11.2,T,
