"CitationID","Bibcite","Citation"
"Smith_1990","\citep{Smith:1990aa}","Smith, T.B. 1990. Natural selection on bill characters in the two bill morphs of the African finch Pyrenestes ostrinus. Evolution. 44:832-842."
"Smith_2003","\citep{Smith:2003aa}","Smith, F.A., Lyons, S.K., Ernest, S.K.M., Jones, K.E., Kaufman, D.M., Dayan, T., Marquet, P.A., Brown, J.H. and Haskell, J.P. (2003), BODY MASS OF LATE QUATERNARY MAMMALS. Ecology, 84: 3403-3403."
"Spong_2002","\citep{Spong:2002aa}","Spong, G. and L. Hellborg. 2002. A near-extinction event in lynx: do microsatellite data tell the tale? Conservation Ecology 6(1): 15"
"Strickland_1987","\citep{Strickland:1987aa}","Strickland, M.A.; Douglas, C.W. Marten. In: Novak, M.; Baker, J.A.; Obbard, M.E., comps. eds. Wild furbearer management and conservation in North America. North Bay, Ontario: Ontario Trap- pers Association: 530-546"
"Suntsova_2008","\citep{Suntsov:2008aa}","Suntsov, A. V., & Brodeur, R. D. (2008). Trophic ecology of three dominant myctophid species in the northern California Current region. Marine Ecology Progress Series, 373, 81-96."
"Takahashi_2004","\citep{Takahashi:2004aa}","Takahashi, K., & Kawaguchi, K. (2004). Reproductive biology of the intertidal and infralittoral mysids Archaeomysis kokuboi and A. japonica on a sandy beach in NE Japan. Marine Ecology Progress Series, 283, 219-231."
"Taylor_2004","\citep{Taylor:2004aa}","Taylor and Peck (2004) Daily energy requirements and trophic positioning of the sand shrimp Crangon septemspinosa. Marine Biology 145(1) 167–177."
"Terrie_1999","\cite{Terrie:1999aa}","Terrie M. Williams, J. E. Haun, W. A. Friedl; The diving physiology of bottlenose dolphins (Tursiops truncatus): I. Balancing the demands of exercise for energy conservation at depth. J Exp Biol 15 October 1999; 202 (20): 2739–2748. doi: https://doi.org/10.1242/jeb.202.20.2739"
"Toru_1957","\citep{Toru:1957aa}","Toru, T. and Yoshiyuki, T., 1957. Fatty oils of aquatic invertebrates: XVII. Fatty oils from one species of the ophiuroidea, Three species of the asteroidea and Three species of the loricata with a particular reference to their sterol components. Memoirs of the Faculty of Engineering, Nagoya University, 8(2), pp.177-182."
"Town_1979","\citep{Town:1979aa}","Town, J.C., 1979. Aspects of the biology of Astrostole scabra (Hutton, 1872)."
"Tsikliras_2014","\citep{Tsikliras:2015aa}","TSIKLIRAS, A., & STERGIOU, K. (2014). Age at maturity of Mediterranean marine fishes. Mediterranean Marine Science, 16(1), 5-20. doi:http://dx.doi.org/10.12681/mms.659"
"Varghese_2014","\citep{Varghese:2014aa}","Varghese, S.P., Somvanshi, V.S. and Dalvi, R.S., 2014. Diet composition, feeding niche partitioning and trophic organisation of large pelagic predatory fishes in the eastern Arabian Sea. Hydrobiologia, 736(1), pp.99-114."
"Vermeij_1980","\citep{Vermeij:1980aa}","Vermeij, G.J. and Currey, J.D., 1980. Geographical variation in the strength of thaidid snail shells. The Biological Bulletin, 158(3), pp.383-389."
"Watson_2007","\citep{Watson:2007aa}","Watson, G. J., Farrell, P., Stanton, S., & Skidmore, L. C. (2007). Effects of bait collection on Nereis virens populations and macrofaunal communities in the Solent, UK. Journal of the Marine Biological Association of the United Kingdom, 87(3), 703-716."
"Welch_1992","\citep{Welch:1992aa}","WELCH, HAROLD E., MARTIN A. BERGMANN,TIMOTHY D. SIFERD, KATHLEEN A. MARTIN, MARTIN F. CURTIS, RICHARD E. CRAWFORD, ROBERT J. CONOVER and HAAKON HOP, (1992) Energy Flow through the Marine Ecosystem of the Lancaster Sound Region, Arctic Canada. 45(4): 343-357"
"Wereszczuk_2017","\citep{Wereszczuk:2017aa}","Wereszczuk, A., Leblois, R., & Zalewski, A. (2017). Genetic diversity and structure related to expansion history and habitat isolation: stone marten populating rural–urban habitats. BMC ecology, 17(1), 46."
"Wickens_1984","\citep{Wickens:1985aa}","Wickens, P. A., and C. L. Griffiths. 1984. Predation by Nucella cingulata (Linnaeus, 1771) on mussels, particularly Aulacomya ater (Molina, 1782). Veliger 27:366-374."
"Williams_1995","\citep{Williams:1995aa}","Williams, Tony D. (1995). The penguins: Spheniscidae. Oxford, England: Oxford University Press. ISBN 0-19-854667-X."
"Wilson_2000","\citep{Wilson:2000aa}","Wilson, Gregory M., Ronald A. Van Den Bussche, Phyllis K. Kennedy, Anne Gunn, and Kim Poole. 2000. GENETIC VARIABILITY OF WOLVERINES (GULO GULO) FROM THE NORTHWEST TERRITORIES, CADA: CONSERVATION IMPLICATIONS Journal of Mammalogy 81 (1), 186-196"
"Yoder_etal_2007","\citep{Yoder:2007aa}","Yoder, J., J.L. Tank, B.L. Brown, H.H. Hobbs III. 2007. Water exchange pertaining to host attachment sites and stream preference in crayfish-associated branchiobdellids, Cambarincola fallax and Cambarincola ingens (Annelida:Clitellata). Hydrobiologia. 592:523-533."
"Zhou_1988","\citep{Zhou:1998aa}","Zhou, Shijie, Thomas C. Shirley, Gordon H. Kruse; Feeding and Growth of the Red King Crab Paralithodes Camtschaticus Under Laboratory Conditions, Journal of Crustacean Biology, Volume 18, Issue 2, 1 April 1998"
